,LCTN_ID,LCTN_NM,Region,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Count
86,3B24P,Heather Mountain Upper,Coast Range,6.61,6.7,6.61,10.31,7.12,8.6,6.57,6.73,6.55,6.57,6.57,6.75,6.66,6.76,6.6,6.73,6.61,6.75,6.68,6.66,6.66,57
87,3B25P,North Road Test ASWS,Coast Range,1.67,2.71,0.0,1.93,1.33,7.11,0.82,4.69,0.81,0.09,0.59,0.8,0.57,1.67,0.19,1.73,1.69,1.29,1.4,0.51,2.47,1
88,3B26P,Mount Arrowsmith,Coast Range,9.05,8.68,8.26,17.47,10.68,8.45,9.02,8.26,8.7,9.36,9.09,8.19,8.83,9.56,8.85,9.43,9.04,9.21,9.02,8.17,8.52,26
89,3C08P,Burnt Bridge Creek,Coast Range,3.86,3.81,3.8,5.34,4.34,5.9,3.92,3.94,3.9,3.87,3.82,3.85,3.85,3.89,3.9,3.92,3.86,3.84,3.81,3.74,3.8,91
90,4A02P,Pine Pass,Rockies,6.89,6.97,6.89,7.56,7.2,8.67,6.87,6.77,7.04,6.89,6.61,7.09,7.0,6.98,6.97,6.86,6.89,6.94,6.86,6.16,6.99,33
91,4A03P,Ware Upper,Rockies,5.35,5.29,5.29,10.35,5.35,6.59,5.62,5.44,5.67,5.58,6.22,6.57,5.8,5.2,5.77,5.28,5.35,5.38,5.25,8.57,7.3,7
93,4A09P,Pulpit Lake,Rockies,5.39,5.38,5.36,6.45,5.39,6.87,5.35,5.65,5.26,5.21,5.21,5.31,5.35,5.59,5.22,5.51,5.38,5.36,5.41,4.52,5.32,5
94,4A12P,Tsaydaychi Lake,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,4A18P,Mount Sheba,Northern BC,4.41,4.57,4.4,7.28,5.59,6.83,4.73,4.91,4.94,4.86,4.86,5.7,5.09,4.68,4.75,4.45,4.41,4.42,4.72,5.45,5.63,13
98,4A27P,Kwadacha North,Rockies,5.76,5.49,5.41,4.8,4.79,6.3,6.02,5.86,5.76,5.83,5.62,5.42,5.91,5.94,5.82,5.97,5.75,5.71,5.6,5.4,5.82,4
100,4A30P,Aiken Lake,Rockies,3.21,2.95,2.95,9.26,3.21,4.25,3.22,3.01,3.24,3.59,3.36,1.78,2.72,3.14,3.28,3.21,3.2,3.07,2.56,3.19,1.4,3
104,4A35P,Germansen Landing,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,4A36P,Parsnip Upper,Northern BC,4.6,5.33,3.5,8.5,5.81,8.73,4.08,3.86,3.97,4.07,4.41,3.5,4.1,3.99,3.97,4.19,4.61,4.07,5.04,3.92,3.84,8
107,4B02P,Johanson Lake,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109,4B15P,Lu Lake,Rockies,6.11,5.74,5.5,8.31,6.72,6.05,6.18,5.83,5.99,6.33,5.77,5.58,6.16,6.0,6.16,6.0,6.1,6.06,5.74,5.79,5.63,42
110,4B16P,Shedin Creek,Rockies,6.4,6.05,5.84,7.26,6.64,6.41,6.33,6.35,6.22,6.46,6.24,6.27,6.34,6.17,6.3,6.38,6.39,6.29,6.21,6.2,6.24,87
111,4B17P,Tsai Creek,Rockies,7.13,6.8,6.59,7.67,7.82,7.08,7.05,6.86,6.95,7.01,6.7,6.81,7.11,7.13,7.02,7.19,7.12,6.81,6.92,6.7,6.7,64
112,4B18P,Cedar-Kiteen,Rockies,7.76,7.38,7.04,8.69,7.24,7.3,7.77,7.66,7.67,7.82,7.77,7.58,7.76,7.86,7.74,7.97,7.75,7.73,7.6,7.66,7.65,35
113,4C01P,Sikanni Lake,Rockies,3.1,4.15,0.0,7.23,3.1,8.19,4.28,4.38,4.53,3.84,5.7,8.21,4.11,3.58,4.38,3.28,3.13,3.56,4.54,4.27,5.8,1
121,4D10P,Tumeka Creek,Rockies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122,4D11P,Kinaskan Lake,Rockies,11.37,10.88,9.85,8.03,11.32,10.1,11.11,11.09,10.96,11.04,10.75,11.07,10.6,11.01,11.01,11.14,11.35,11.39,10.9,11.04,10.29,12
