Unnamed: 0,model_id,dataname,optimizer,lossfn,layers,regularization_strength,activationfn,epochs,batch_size,dropout_rate,train_accuracy,test_accuracy,time
,39.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F75DBC70>,100.0,1000.0,0.2,"[21.68697166442871, 59.123348236083984]","[21.70615005493164, 57.99934768676758]",
,40.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FE6766B0>,100.0,1000.0,0.2,"[112.5154037475586, 123.7371826171875]","[112.34822845458984, 119.49530029296875]",
,41.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 150, 'dropout', 100, 100, 100, 'dropout', 50, 20]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F7408D90>,100.0,1000.0,0.2,"[4.1552557945251465, 47.86812210083008]","[4.105982303619385, 45.33642578125]",
,42.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 150, 'dropout', 100, 100, 100, 'dropout', 50, 20]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F7408BE0>,100.0,1000.0,0.2,"[4.2504353523254395, 48.91533279418945]","[4.462721347808838, 52.94381332397461]",
,43.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 150, 'dropout', 100, 100, 100, 'dropout', 50, 20]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F295ECB0>,100.0,1000.0,0.2,"[4.656787395477295, 46.77161407470703]","[4.5659661293029785, 43.69000244140625]",
,44.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 150, 'dropout', 100, 100, 100, 'dropout', 50, 20]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EAFA77C0>,100.0,1000.0,0.2,"[9.708600997924805, 53.26798629760742]","[9.63693904876709, 51.8146858215332]",
,45.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 150, 'dropout', 100, 100, 100, 'dropout', 50, 20]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FC4AF640>,100.0,1000.0,0.2,"[111.99089050292969, 123.29607391357422]","[111.85186004638672, 123.48760223388672]",
,46.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000295019BF8E0>,100.0,1000.0,0.2,"[3.755650520324707, 41.34709167480469]","[3.6325137615203857, 40.43154525756836]",
,47.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F18BC0D0>,100.0,1000.0,0.2,"[3.723520278930664, 40.676963806152344]","[3.970357656478882, 46.54436492919922]",
,48.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 'dropout', 200, 'dropout', 150, 'dropout', 100, 'dropout', 50]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F18BCA00>,100.0,1000.0,0.2,"[4.803570747375488, 50.93141174316406]","[4.805994987487793, 51.64695358276367]",
